check,error,passed,kind
rmsnorm_core_backward_equivariance,8.881784197001252e-16,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,9.348505697765104,True,real_activation_neg
swiglu_dense_orth_NEG,4.5096310421450285,True,real_activation_neg
rope_paired_qk_score_preserve,5.3290705182007514e-14,True,real_activation_fp64
rope_dense_commute_NEG,6.336999319980791,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],5.9631119486702744e-18,True,real_activation_fp64
lora_fold_sgd[q_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],4.0766001685454967e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],4.336808689942018e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],5.637851296924623e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.0269562977782698e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],2.0599841277224584e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],1.0061396160665481e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],4.85722573273506e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],1.5178830414797062e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],2.7755575615628914e-17,True,real_activation_fp64
lora_fold_forward[down_proj],5.551115123125783e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],3.0357660829594124e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],3.198396408832238e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],4.163336342344337e-17,True,real_activation_fp64
rmsnorm_core_equivariance,3.552713678800501e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,8.881784197001252e-16,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,12.452163143404846,True,real_activation_neg
swiglu_dense_orth_NEG,5.779640626853694,True,real_activation_neg
rope_paired_qk_score_preserve,5.062616992290714e-14,True,real_activation_fp64
rope_dense_commute_NEG,5.05861106376261,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],9.367506770274758e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],1.5612511283791264e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],9.71445146547012e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[v_proj],9.992007221626409e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],8.326672684688674e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.5543122344752192e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],7.45931094670027e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],1.734723475976807e-17,True,real_activation_fp64
lora_fold_sgd[o_proj],6.071532165918825e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],2.6645352591003757e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.4988010832439613e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],5.637851296924623e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],1.3877787807814457e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.5543122344752192e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],1.942890293094024e-16,True,real_activation_fp64
lora_fold_gradB[up_proj],3.903127820947816e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],6.245004513516506e-17,True,real_activation_fp64
