optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
sgd,10,qkv,O1C_optstate_relerr,216,216,0.0,2.442473839323527e-15,1.1180024787550161e-15,2.02980296428087e-15,20
sgd,10,qkv,loss_absdiff_O1C,216,216,0.0,1.7763568394002505e-15,0.0,6.661338147750939e-16,0
sgd,10,gate_up,O1A_A_update_relerr,144,78,0.4583,0.0013457594012472956,0.0005762210331660398,0.001186550363996172,0
sgd,10,gate_up,O1C_A_update_relerr,144,144,0.0,2.2995366969501173e-16,2.1935009919558242e-16,2.254141839068071e-16,3
sgd,10,gate_up,O1A_B_update_relerr,144,78,0.4583,1.4050756683492489e-05,3.1418454772101896e-07,8.37023466880503e-06,21
sgd,10,gate_up,O1C_B_update_relerr,144,144,0.0,6.207564738575436e-18,3.719379279945728e-18,4.878112492447874e-18,0
sgd,10,gate_up,O1A_dW_cos,144,78,0.4583,0.999999912113338,0.9999997106025196,0.9999998868497444,16
sgd,10,gate_up,O1C_dW_cos,144,144,0.0,1.0000000000000682,1.0000000000000047,1.0000000000000522,23
sgd,10,gate_up,O1A_optstate_relerr,144,78,0.4583,1.3380871148526847,0.8259223142609601,1.3232552309619379,0
sgd,10,gate_up,O1C_optstate_relerr,144,144,0.0,4.330383519613341e-15,2.616394834571901e-15,3.3091349509101117e-15,17
sgd,10,gate_up,loss_absdiff_O1C,144,144,0.0,6.661338147750939e-16,0.0,2.220446049250313e-16,23
sgd,50,o_down,O1A_A_update_relerr,144,144,0.0,5.155481021266982e-17,3.6419357149289674e-17,5.047379517700453e-17,20
sgd,50,o_down,O1C_A_update_relerr,144,144,0.0,5.155481021266982e-17,3.6419357149289674e-17,5.047379517700453e-17,20
sgd,50,o_down,O1A_B_update_relerr,144,144,0.0,6.584543854892841e-17,3.7009851075060953e-17,6.283407565617283e-17,22
sgd,50,o_down,O1C_B_update_relerr,144,144,0.0,6.584543854892841e-17,3.7009851075060953e-17,6.283407565617283e-17,22
sgd,50,o_down,O1A_dW_cos,144,144,0.0,1.0000000000000786,1.0000000000000044,1.0000000000000422,18
